Item Branch 2nd Item Number,Item Branch Category Code 6,Item Branch G/L Category,Item-Branch Key,Item Branch Reorder Quantity,Short Name
28885,1045,SMWN,CR-10845,0,10845
34703,1030,TMTG,CR-10303,0,10303
34703,1030,TMTG,CR-10303,0,10303
37896,1010,AXLE,CR-10649,0,10649
37896,1010,AXLE,CR-10649,0,10649
38380,1035,ACCE,CR-10722,0,10722
38380,1035,ACCE,CR-10722,0,10722
39182,1025,TFAB,CR-10866,0,10866
39182,1025,TFAB,CR-10866,0,10866
60105,1050,AFAB,CR-10106,0,10106
60105,1050,AFAB,CR-10106,0,10106
60450,1030,TMTG,CR-10173,0,10173
60450,1030,TMTG,CR-10173,0,10173
60856,1035,ACCE,CR-10216,0,10216
60856,1035,ACCE,CR-10216,0,10216
62042,1050,AFAB,CR-10418,0,10418
62042,1050,AFAB,CR-10418,0,10418
63005,1025,TFAB,CR-10578,0,10578
63005,1025,TFAB,CR-10578,0,10578
63299,1040,ATVW,CR-10642,0,10642
63299,1040,ATVW,CR-10642,0,10642
65157,1050,AFAB,CR-10852,0,10852
65157,1050,AFAB,CR-10852,0,10852
220601,1035,ACCE,CR-10927,0,10927
220601,1035,ACCE,CR-10927,0,10927
6007,1015,SRCW,CR-10074,0,10074
6007,1015,SRCW,CR-10074,0,10074
25045,1025,TFAB,CR-10552,0,10552
25045,1025,TFAB,CR-10552,0,10552
26769,1035,ACCE,CR-10692,0,10692
26769,1035,ACCE,CR-10692,0,10692
27353,1015,SRCW,CR-10719,0,10719
27353,1015,SRCW,CR-10719,0,10719
28890,1025,TFAB,CR-10846,0,10846
28890,1025,TFAB,CR-10846,0,10846
37897,1010,AXLE,CR-10650,0,10650
37897,1010,AXLE,CR-10650,0,10650
39183,1025,TFAB,CR-10867,0,10867
39183,1025,TFAB,CR-10867,0,10867
60451,1015,SRCW,CR-10174,0,10174
60451,1015,SRCW,CR-10174,0,10174
62693,1040,ATVW,CR-10516,0,10516
62693,1040,ATVW,CR-10516,0,10516
63006,1025,TFAB,CR-10579,0,10579
63006,1025,TFAB,CR-10579,0,10579
915358,5020,MKTG,CR-10092,0,10092
915358,5020,MKTG,CR-10092,0,10092
6008,1015,SRCW,CR-10075,0,10075
6008,1015,SRCW,CR-10075,0,10075
13470,1045,SMWN,CR-10215,0,10215
13470,1045,SMWN,CR-10215,0,10215
15236,1040,ATVW,CR-10279,0,10279
15236,1040,ATVW,CR-10279,0,10279
32950,1035,ACCE,CR-10191,0,10191
32950,1035,ACCE,CR-10191,0,10191
37474,1015,SRCW,CR-10572,0,10572
37474,1015,SRCW,CR-10572,0,10572
39184,1025,TFAB,CR-10868,0,10868
39184,1025,TFAB,CR-10868,0,10868
60107,1050,AFAB,CR-10107,0,10107
60107,1050,AFAB,CR-10107,0,10107
60454,1010,AXLE,CR-10175,0,10175
60454,1010,AXLE,CR-10175,0,10175
62700,1040,ATVW,CR-10517,0,10517
62700,1040,ATVW,CR-10517,0,10517
65159,1050,AFAB,CR-10853,0,10853
65159,1050,AFAB,CR-10853,0,10853
220610,1035,ACCE,CR-10928,0,10928
220610,1035,ACCE,CR-10928,0,10928
915361,5020,MKTG,CR-10093,0,10093
915361,5020,MKTG,CR-10093,0,10093
6009,1015,SRCW,CR-10076,0,10076
6009,1015,SRCW,CR-10076,0,10076
11021,1025,TFAB,CR-11021,0,11021
11021,1025,TFAB,CR-11021,0,11021
26771,1035,ACCE,CR-10693,0,10693
26771,1035,ACCE,CR-10693,0,10693
32951,1035,ACCE,CR-10192,0,10192
32951,1035,ACCE,CR-10192,0,10192
39185,1030,TMTG,CR-10869,0,10869
39185,1030,TMTG,CR-10869,0,10869
39529,1010,AXLE,CR-10943,0,10943
39529,1010,AXLE,CR-10943,0,10943
62701,1040,ATVW,CR-10518,0,10518
62701,1040,ATVW,CR-10518,0,10518
65160,1050,AFAB,CR-10854,0,10854
65160,1050,AFAB,CR-10854,0,10854
220611,1035,ACCE,CR-10929,0,10929
220611,1035,ACCE,CR-10929,0,10929
13494,1025,TFAB,CR-10216,0,10216
13494,1025,TFAB,CR-10216,0,10216
19125,1015,SRCW,CR-10371,0,10371
19125,1015,SRCW,CR-10371,0,10371
27357,1015,SRCW,CR-10720,0,10720
27357,1015,SRCW,CR-10720,0,10720
29420,1025,TFAB,CR-10910,0,10910
29420,1025,TFAB,CR-10910,0,10910
39186,1030,TMTG,CR-10870,0,10870
39186,1030,TMTG,CR-10870,0,10870
39530,1025,TFAB,CR-10944,0,10944
39530,1025,TFAB,CR-10944,0,10944
60109,1050,AFAB,CR-10108,0,10108
60109,1050,AFAB,CR-10108,0,10108
60860,1035,ACCE,CR-10217,0,10217
60860,1035,ACCE,CR-10217,0,10217
61260,1030,TMTG,CR-10273,0,10273
61260,1030,TMTG,CR-10273,0,10273
61611,1050,AFAB,CR-10332,0,10332
61611,1050,AFAB,CR-10332,0,10332
62708,1040,ATVW,CR-10519,0,10519
62708,1040,ATVW,CR-10519,0,10519
220612,1035,ACCE,CR-10930,0,10930
220612,1035,ACCE,CR-10930,0,10930
915365,5020,MKTG,CR-10094,0,10094
915365,5020,MKTG,CR-10094,0,10094
61801,1060,TIER,PC-10377,0,10377
61801,1060,TIER,PC-10377,0,10377
6094,1005,THUB,CR-10077,0,10077
6094,1005,THUB,CR-10077,0,10077
25982,1015,SRCW,CR-10609,0,10609
25982,1015,SRCW,CR-10609,0,10609
27358,1015,SRCW,CR-10721,0,10721
27358,1015,SRCW,CR-10721,0,10721
38385,1035,ACCE,CR-10723,0,10723
38385,1035,ACCE,CR-10723,0,10723
39531,1025,TFAB,CR-10945,0,10945
39531,1025,TFAB,CR-10945,0,10945
220620,1035,ACCE,CR-10931,0,10931
220620,1035,ACCE,CR-10931,0,10931
61802,1060,TIER,PC-10378,0,10378
61802,1060,TIER,PC-10378,0,10378
6126,1015,SRCW,CR-10078,0,10078
6126,1015,SRCW,CR-10078,0,10078
15271,1015,SRCW,CR-10280,0,10280
15271,1015,SRCW,CR-10280,0,10280
19145,1015,SRCW,CR-10372,0,10372
19145,1015,SRCW,CR-10372,0,10372
25984,1015,SRCW,CR-10610,0,10610
25984,1015,SRCW,CR-10610,0,10610
28929,1040,ATVW,CR-10847,0,10847
28929,1040,ATVW,CR-10847,0,10847
30073,1025,TFAB,CR-10963,0,10963
30073,1025,TFAB,CR-10963,0,10963
38390,1035,ACCE,CR-10724,0,10724
38390,1035,ACCE,CR-10724,0,10724
60111,1050,AFAB,CR-10109,0,10109
60111,1050,AFAB,CR-10109,0,10109
60459,1005,THUB,CR-10176,0,10176
60459,1005,THUB,CR-10176,0,10176
62710,1040,ATVW,CR-10520,0,10520
62710,1040,ATVW,CR-10520,0,10520
220621,1035,ACCE,CR-10932,0,10932
220621,1035,ACCE,CR-10932,0,10932
915369,5020,MKTG,CR-10095,0,10095
915369,5020,MKTG,CR-10095,0,10095
61847,1085,GKN,PC-10382,0,10382
61847,1085,GKN,PC-10382,0,10382
15276,1015,SRCW,CR-10281,0,10281
15276,1015,SRCW,CR-10281,0,10281
25985,1015,SRCW,CR-10611,0,10611
25985,1015,SRCW,CR-10611,0,10611
27366,1015,SRCW,CR-10722,0,10722
27366,1015,SRCW,CR-10722,0,10722
28930,1040,ATVW,CR-10848,0,10848
28930,1040,ATVW,CR-10848,0,10848
34726,1035,ACCE,CR-10304,0,10304
34726,1035,ACCE,CR-10304,0,10304
38391,1035,ACCE,CR-10725,0,10725
38391,1035,ACCE,CR-10725,0,10725
39538,1045,SMWN,CR-10946,0,10946
39538,1045,SMWN,CR-10946,0,10946
39886,1015,SRCW,CR-10007,0,10007
39886,1015,SRCW,CR-10007,0,10007
60863,1010,AXLE,CR-10218,0,10218
60863,1010,AXLE,CR-10218,0,10218
63012,1025,TFAB,CR-10580,0,10580
63012,1025,TFAB,CR-10580,0,10580
63307,1050,AFAB,CR-10643,0,10643
63307,1050,AFAB,CR-10643,0,10643
220622,1035,ACCE,CR-10933,0,10933
220622,1035,ACCE,CR-10933,0,10933
915371,5020,MKTG,CR-10096,0,10096
915371,5020,MKTG,CR-10096,0,10096
25986,1015,SRCW,CR-10612,0,10612
25986,1015,SRCW,CR-10612,0,10612
30613,1030,TMTG,CR-10026,0,10026
30613,1030,TMTG,CR-10026,0,10026
32956,1035,ACCE,CR-10193,0,10193
32956,1035,ACCE,CR-10193,0,10193
38392,1035,ACCE,CR-10726,0,10726
38392,1035,ACCE,CR-10726,0,10726
39190,1030,TMTG,CR-10871,0,10871
39190,1030,TMTG,CR-10871,0,10871
39887,1015,SRCW,CR-10008,0,10008
39887,1015,SRCW,CR-10008,0,10008
60113,1050,AFAB,CR-10110,0,10110
60113,1050,AFAB,CR-10110,0,10110
60461,1040,ATVW,CR-10177,0,10177
60461,1040,ATVW,CR-10177,0,10177
65165,1050,AFAB,CR-10855,0,10855
65165,1050,AFAB,CR-10855,0,10855
915372,5020,MKTG,CR-10097,0,10097
915372,5020,MKTG,CR-10097,0,10097
25987,1015,SRCW,CR-10613,0,10613
25987,1015,SRCW,CR-10613,0,10613
27369,1015,SRCW,CR-10723,0,10723
27369,1015,SRCW,CR-10723,0,10723
30078,1025,TFAB,CR-10964,0,10964
30078,1025,TFAB,CR-10964,0,10964
30615,1025,TFAB,CR-10027,0,10027
30615,1025,TFAB,CR-10027,0,10027
31505,1015,SRCW,CR-10067,0,10067
31505,1015,SRCW,CR-10067,0,10067
32957,1035,ACCE,CR-10194,0,10194
32957,1035,ACCE,CR-10194,0,10194
35261,1025,TFAB,CR-10384,0,10384
35261,1025,TFAB,CR-10384,0,10384
38771,1025,TFAB,CR-10795,0,10795
38771,1025,TFAB,CR-10795,0,10795
39191,1030,TMTG,CR-10872,0,10872
39191,1030,TMTG,CR-10872,0,10872
60114,1050,AFAB,CR-10111,0,10111
60114,1050,AFAB,CR-10111,0,10111
239772,1040,ATVW,CR-10934,0,10934
239772,1040,ATVW,CR-10934,0,10934
915373,5020,MKTG,CR-10098,0,10098
915373,5020,MKTG,CR-10098,0,10098
25988,1015,SRCW,CR-10614,0,10614
25988,1015,SRCW,CR-10614,0,10614
31506,1015,SRCW,CR-10068,0,10068
31506,1015,SRCW,CR-10068,0,10068
32959,1035,ACCE,CR-10195,0,10195
32959,1035,ACCE,CR-10195,0,10195
34141,1030,TMTG,CR-10247,0,10247
34141,1030,TMTG,CR-10247,0,10247
37014,1015,SRCW,CR-10492,0,10492
37014,1015,SRCW,CR-10492,0,10492
38394,1035,ACCE,CR-10727,0,10727
38394,1035,ACCE,CR-10727,0,10727
38772,1035,ACCE,CR-10796,0,10796
38772,1035,ACCE,CR-10796,0,10796
61619,1015,SRCW,CR-10334,0,10334
61619,1015,SRCW,CR-10334,0,10334
65167,1050,AFAB,CR-10856,0,10856
65167,1050,AFAB,CR-10856,0,10856
239782,1040,ATVW,CR-10935,0,10935
239782,1040,ATVW,CR-10935,0,10935
40640,5020,MKTG,CR-10985,0,10985
40640,5020,MKTG,CR-10985,0,10985
915374,5020,MKTG,CR-10099,0,10099
915374,5020,MKTG,CR-10099,0,10099
29277,1055,SHUB,PC-10885,0,10885
29277,1055,SHUB,PC-10885,0,10885
27372,1015,SRCW,CR-10724,0,10724
27372,1015,SRCW,CR-10724,0,10724
35263,1025,TFAB,CR-10385,0,10385
35263,1025,TFAB,CR-10385,0,10385
37017,1030,TMTG,CR-10493,0,10493
37017,1030,TMTG,CR-10493,0,10493
39546,1010,AXLE,CR-10947,0,10947
39546,1010,AXLE,CR-10947,0,10947
61620,1015,SRCW,CR-10335,0,10335
61620,1015,SRCW,CR-10335,0,10335
62055,1040,ATVW,CR-10419,0,10419
62055,1040,ATVW,CR-10419,0,10419
63325,1030,TMTG,CR-10644,0,10644
63325,1030,TMTG,CR-10644,0,10644
265012,1015,SRCW,CR-10936,0,10936
265012,1015,SRCW,CR-10936,0,10936
915375,5020,MKTG,CR-10100,0,10100
915375,5020,MKTG,CR-10100,0,10100
29278,1055,SHUB,PC-10886,0,10886
29278,1055,SHUB,PC-10886,0,10886
6341,1015,SRCW,CR-10079,0,10079
6341,1015,SRCW,CR-10079,0,10079
26006,1015,SRCW,CR-10615,0,10615
26006,1015,SRCW,CR-10615,0,10615
27373,1015,SRCW,CR-10725,0,10725
27373,1015,SRCW,CR-10725,0,10725
28115,1015,SRCW,CR-10786,0,10786
28115,1015,SRCW,CR-10786,0,10786
28938,1040,ATVW,CR-10849,0,10849
28938,1040,ATVW,CR-10849,0,10849
37018,1030,TMTG,CR-10494,0,10494
37018,1030,TMTG,CR-10494,0,10494
38397,1035,ACCE,CR-10728,0,10728
38397,1035,ACCE,CR-10728,0,10728
39198,1075,SUZU,CR-10873,0,10873
39198,1075,SUZU,CR-10873,0,10873
39198,1075,SUZU,PC-10873,0,10873
39198,1075,SUZU,PC-10873,0,10873
39547,1010,AXLE,CR-10948,0,10948
39547,1010,AXLE,CR-10948,0,10948
60117,1050,AFAB,CR-10112,0,10112
60117,1050,AFAB,CR-10112,0,10112
65169,1050,AFAB,CR-10857,0,10857
65169,1050,AFAB,CR-10857,0,10857
915376,5020,MKTG,CR-10101,0,10101
915376,5020,MKTG,CR-10101,0,10101
29279,1055,SHUB,PC-10887,0,10887
29279,1055,SHUB,PC-10887,0,10887
35009,1055,SHUB,PC-10347,0,10347
35009,1055,SHUB,PC-10347,0,10347
6347,1015,SRCW,CR-10080,0,10080
6347,1015,SRCW,CR-10080,0,10080
27374,1045,SMWN,CR-10726,0,10726
27374,1045,SMWN,CR-10726,0,10726
34213,1005,THUB,CR-10248,0,10248
34213,1005,THUB,CR-10248,0,10248
35265,1025,TFAB,CR-10386,0,10386
35265,1025,TFAB,CR-10386,0,10386
37488,1045,SMWN,CR-10573,0,10573
37488,1045,SMWN,CR-10573,0,10573
265022,1015,SRCW,CR-10937,0,10937
265022,1015,SRCW,CR-10937,0,10937
35010,1055,SHUB,PC-10348,0,10348
35010,1055,SHUB,PC-10348,0,10348
23667,1015,SRCW,CR-10515,0,10515
23667,1015,SRCW,CR-10515,0,10515
27376,1015,SRCW,CR-10727,0,10727
27376,1015,SRCW,CR-10727,0,10727
32963,1035,ACCE,CR-10196,0,10196
32963,1035,ACCE,CR-10196,0,10196
37489,1015,SRCW,CR-10574,0,10574
37489,1015,SRCW,CR-10574,0,10574
62058,1015,SRCW,CR-10420,0,10420
62058,1015,SRCW,CR-10420,0,10420
63024,1025,TFAB,CR-10581,0,10581
63024,1025,TFAB,CR-10581,0,10581
63722,1010,AXLE,CR-10692,25000000,10692
63722,1010,AXLE,CR-10692,25000000,10692
65171,1050,AFAB,CR-10858,0,10858
65171,1050,AFAB,CR-10858,0,10858
265032,1015,SRCW,CR-10938,0,10938
265032,1015,SRCW,CR-10938,0,10938
35011,1055,SHUB,PC-10349,0,10349
35011,1055,SHUB,PC-10349,0,10349
11062,1025,TFAB,CR-10176,0,10176
11062,1025,TFAB,CR-10176,0,10176
13521,1045,SMWN,CR-10217,0,10217
13521,1045,SMWN,CR-10217,0,10217
23671,1015,SRCW,CR-10516,0,10516
23671,1015,SRCW,CR-10516,0,10516
26794,1045,SMWN,CR-10694,0,10694
26794,1045,SMWN,CR-10694,0,10694
30090,1030,TMTG,CR-10965,0,10965
30090,1030,TMTG,CR-10965,0,10965
31513,1015,SRCW,CR-10069,0,10069
31513,1015,SRCW,CR-10069,0,10069
34735,1035,ACCE,CR-10305,0,10305
34735,1035,ACCE,CR-10305,0,10305
35267,1025,TFAB,CR-10387,0,10387
35267,1025,TFAB,CR-10387,0,10387
37490,1015,SRCW,CR-10575,0,10575
37490,1015,SRCW,CR-10575,0,10575
38400,1050,AFAB,CR-10729,0,10729
38400,1050,AFAB,CR-10729,0,10729
